,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
1693,V. John Mathews,Oregon State University,,University of Madras,University of Iowa,0,0,0,1
1694,Weng-Keen Wong,Oregon State University,Artificial Intelligence,University of British Columbia,Carnegie Mellon University,0,2,2,0
1695,Xiao Fu,Oregon State University,Machine Learning & Data Mining,University of Science and Technology of China,The Chinese University of Hong Kong,0,25,25,0
1696,Xiaoli Fern,Oregon State University,Machine Learning & Data Mining,Shanghai Jiao Tong University,Purdue University,0,25,25,0
1697,Yeongjin Jang,Oregon State University,Computer Security,KAIST,Georgia Institute of Technology,0,31,31,0
1698,Yue Zhang,Oregon State University,Computer Graphics,University of Tennessee,North Carolina State University,0,14,14,0
1699,Tao Xie,Peking University,Software Engineering,Fudan University,University of Washington,0,12,12,0
1700,Aasheesh Kolli,Pennsylvania State University,Computer Architecture,Birla Institute of Technology and Science,University of Michigan,0,2,2,0
1701,Anand Sivasubramaniam,Pennsylvania State University,Computer Architecture,Indian Institute of Technology Madras,Georgia Institute of Technology,0,2,2,0
1702,Antonio Blanca,Pennsylvania State University,Artificial Intelligence,Georgia Institute of Technology,"University of California, Berkeley",0,2,2,0
1703,Bhuvan Urgaonkar,Pennsylvania State University,Operating Systems,Indian Institute of Technology Kharagpur,University of Massachusetts Amherst,0,0,0,0
1704,C. Lee Giles,Pennsylvania State University,Artificial Intelligence,University of Tennessee,University of Arizona,0,2,2,0
1705,Chita R. Das,Pennsylvania State University,Computer Architecture,Ranchi University,University of Louisiana at Lafayette,0,2,2,0
1706,Chitaranjan Das,Pennsylvania State University,Computer Education,Ranchi University,University of Louisiana at Lafayette,0,4,4,0
1707,Dan Kifer,Pennsylvania State University,Artificial Intelligence,New York University,Cornell University,0,2,2,0
1708,Danfeng Zhang,Pennsylvania State University,Programming Languages,Peking University,Cornell University,0,7,7,0
1709,Dinghao Wu,Pennsylvania State University,Software Engineering,Nanjing University,Princeton University,0,12,12,0
1710,Gang Tan,Pennsylvania State University,Programming Languages,Tsinghua University,Princeton University,0,7,7,0
1711,George Kesidis,Pennsylvania State University,Computer Networks,University of Waterloo,"University of California, Berkeley",0,34,34,0
1712,Guohong Cao,Pennsylvania State University,Mobile Computing,Xi'an Jiaotong University,Ohio State University,0,0,0,0
1713,Jack M. Carroll,Pennsylvania State University,Human-Computer Interaction,Lehigh University,Columbia University,0,21,21,0
1714,Jack Sampson,Pennsylvania State University,Computer Architecture,"University of California, Berkeley","University of California, San Diego",0,2,2,0
1715,Jesse L. Barlow,Pennsylvania State University,Scientific Computing,University of Kansas,Northwestern University,0,7,7,0
1716,John Hannan,Pennsylvania State University,Programming Languages,Cornell University,University of Pennsylvania,0,7,7,0
1717,John J. Metzner,Pennsylvania State University,Computer Networks,New York University,New York University,0,34,34,0
1718,Kamesh Madduri,Pennsylvania State University,High-Performance Computing,Indian Institute of Technology Madras,Georgia Institute of Technology,0,7,7,0
1719,Lee D. Coraor,Pennsylvania State University,Computer Architecture,,University of Iowa,0,2,2,1
1720,Linhai Song,Pennsylvania State University,Software Engineering,Huazhong University of Science and Technology,University of Wisconsin-Madison,0,12,12,0
1721,Mahanth Gowda,Pennsylvania State University,Mobile Computing,Indian Institute of Technology Kanpur,University of Illinois at Urbana-Champaign,0,0,0,0
1722,Mahmut T. Kandemir,Pennsylvania State University,Embedded & Real-Time Systems,Istanbul Technical University,Syracuse University,0,14,14,0
1723,Martin Fürer,Pennsylvania State University,Algorithms & Complexity,ETH Zurich,ETH Zurich,0,32,32,0
1724,Mary Jane Irwin,Pennsylvania State University,Computer Architecture,University of Memphis,University of Illinois at Urbana-Champaign,0,2,2,0
1725,Mehrdad Mahdavi,Pennsylvania State University,Machine Learning & Data Mining,Amirkabir University of Technology,Michigan State University,0,25,25,0
1726,Mingfu Shao,Pennsylvania State University,Artificial Intelligence,Beijing Institute of Technology,École polytechnique fédérale de Lausanne,0,2,2,0
1727,Narayanan Vijaykrishnan,Pennsylvania State University,Computer Vision,University of Madras,University of South Florida,0,5,5,0
1728,Patrick D. McDaniel,Pennsylvania State University,Computer Security,Ohio State University,University of Michigan,0,31,31,0
1729,Paul Medvedev,Pennsylvania State University,Comp. Bio & Bioinformatics,"University of California, Los Angeles",University of Toronto,0,2,2,0
1730,Peng Liu,Pennsylvania State University,Computer Security,University of Science and Technology of China,George Mason University,0,31,31,0
1731,Piotr Berman,Pennsylvania State University,Comp. Bio & Bioinformatics,Institute of Mathematics of the PAS,Massachusetts Institute of Technology,0,2,2,0
1732,Rebecca J. Passonneau,Pennsylvania State University,Natural Language Processing,University of Chicago,University of Chicago,0,0,0,0
1733,Robert T. Collins,Pennsylvania State University,Computer Vision,University of Hartford,University of Massachusetts Amherst,0,5,5,0
1734,Sean Hallgren,Pennsylvania State University,Algorithms & Complexity,Carnegie Mellon University,"University of California, Berkeley",0,32,32,0
1735,Sencun Zhu,Pennsylvania State University,Computer Security,Tsinghua University,George Mason University,0,31,31,0
1736,Steven Shaffer,Pennsylvania State University,Computer Education,Temple University,Pennsylvania State University,0,4,4,0
1737,Thomas F. La Porta,Pennsylvania State University,Computer Networks,Cooper Union,Columbia University,0,34,34,0
1738,Timothy Zhu,Pennsylvania State University,Operating Systems,Carnegie Mellon University,Carnegie Mellon University,0,0,0,0
1739,Ting He,Pennsylvania State University,Machine Learning & Data Mining,Peking University,Cornell University,0,25,25,0
1740,Trent Jaeger,Pennsylvania State University,Operating Systems,"California State Polytechnic University, Pomona",University of Michigan,0,0,0,0
1741,Vasant G. Honavar,Pennsylvania State University,Artificial Intelligence,Bangalore University,University of Wisconsin-Madison,0,2,2,0
1742,Vijaykrishnan Narayanan,Pennsylvania State University,Embedded & Real-Time Systems,University of Madras,University of South Florida,0,14,14,0
1743,Wang-Chien Lee,Pennsylvania State University,Mobile Computing,National Chiao Tung University,Ohio State University,0,0,0,0
1744,Webb C. Miller,Pennsylvania State University,Comp. Bio & Bioinformatics,Whitman College,University of Washington,0,2,2,0
1745,Xiang Zhang,Pennsylvania State University,Machine Learning & Data Mining,,University of North Carolina at Chapel Hill,0,25,25,1
1746,Xiaolei Huang,Pennsylvania State University,Computer Vision,Tsinghua University,Rutgers University,0,5,5,0
1747,Xinyu Xing,Pennsylvania State University,Computer Security,Beihang University,Georgia Institute of Technology,0,31,31,0
1748,Yanxi Liu,Pennsylvania State University,Artificial Intelligence,Beijing Normal University,University of Massachusetts Amherst,0,2,2,0
1749,Zhenhui Li,Pennsylvania State University,Machine Learning & Data Mining,Shanghai Jiao Tong University,University of Illinois at Urbana-Champaign,0,25,25,0
1750,Zihan Zhou,Pennsylvania State University,Computer Vision,Tsinghua University,University of Illinois at Urbana-Champaign,0,5,5,0
1751,Aarti Gupta,Princeton University,Programming Languages,Indian Institute of Technology Delhi,Carnegie Mellon University,0,7,7,0
1752,Adam Finkelstein,Princeton University,Computer Graphics,Swarthmore College,University of Washington,0,14,14,0
1753,Amir Ali Ahmadi,Princeton University,Economics & Computation,"University of Maryland, Baltimore County",Massachusetts Institute of Technology,0,0,0,0
1754,Amit A. Levy,Princeton University,Computer Security,University of Washington,Stanford University,0,31,31,0
1755,Andrew W. Appel,Princeton University,Programming Languages,Princeton University,Carnegie Mellon University,0,7,7,0
1756,Arvind Narayanan,Princeton University,Computer Security,Indian Institute of Technology Madras,University of Texas at Austin,0,31,31,0
1757,Barbara E. Engelhardt,Princeton University,Comp. Bio & Bioinformatics,Stanford University,"University of California, Berkeley",0,2,2,0
1758,Benjamin J. Raphael,Princeton University,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,"University of California, San Diego",0,2,2,0
1759,Bernard Chazelle,Princeton University,Algorithms & Complexity,Mines ParisTech,Yale University,0,32,32,0
1760,Brian W. Kernighan,Princeton University,Programming Languages,University of Toronto,Princeton University,0,7,7,0
1761,Danqi Chen,Princeton University,Artificial Intelligence,Tsinghua University,Stanford University,0,2,2,0
1762,David I. August,Princeton University,Computer Architecture,Rensselaer Polytechnic Institute,University of Illinois at Urbana-Champaign,0,2,2,0
1763,David P. Dobkin,Princeton University,Computer Graphics,Massachusetts Institute of Technology,Harvard University,0,14,14,0
1764,David Walker,Princeton University,Programming Languages,Queen's University,Cornell University,0,7,7,0
1765,David Wentzlaff,Princeton University,Computer Architecture,University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,0,2,2,0
1766,Edward W. Felten,Princeton University,Computer Security,California Institute of Technology,University of Washington,0,31,31,0
1767,Elad Hazan,Princeton University,Machine Learning & Data Mining,Tel Aviv University,Princeton University,0,25,25,0
1768,Gillat Kol,Princeton University,Algorithms & Complexity,American Friends of the Open University of Israel,Weizmann Institute of Science,0,32,32,0
1769,H. Sebastian Seung,Princeton University,Machine Learning & Data Mining,Harvard University,Harvard University,0,25,25,0
1770,Jaswinder Pal Singh,Princeton University,High-Performance Computing,Princeton University,Stanford University,0,7,7,0
1771,Jen Rexford,Princeton University,Computer Networks,Princeton University,University of Michigan,0,34,34,0
1772,Jia Deng,Princeton University,Computer Vision,Tsinghua University,Princeton University,0,5,5,0
1773,Jianxiong Xiao,Princeton University,Computer Vision,Hong Kong University of Science and Technology,Massachusetts Institute of Technology,0,5,5,0
1774,Kai Li,Princeton University,High-Performance Computing,Jilin University,Yale University,0,7,7,0
1775,Karthik Narasimhan,Princeton University,Natural Language Processing,Indian Institute of Technology Kanpur,Massachusetts Institute of Technology,0,0,0,0
1776,Kyle Jamieson,Princeton University,Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,34,34,0
1777,Margaret Martonosi,Princeton University,Computer Architecture,Cornell University,Stanford University,0,2,2,0
1778,Mark Braverman,Princeton University,Algorithms & Complexity,University of Toronto,University of Toronto,0,32,32,0
1779,Matthew Weinberg,Princeton University,Algorithms & Complexity,Cornell University,Massachusetts Institute of Technology,0,32,32,0
1780,Michael J. Freedman,Princeton University,Computer Networks,Massachusetts Institute of Technology,New York University,0,34,34,0
1781,Mona Singh,Princeton University,Comp. Bio & Bioinformatics,Harvard University,Massachusetts Institute of Technology,0,2,2,0
1782,Olga G. Troyanskaya,Princeton University,Comp. Bio & Bioinformatics,University of Richmond,Stanford University,0,2,2,0
1783,Olga Russakovsky,Princeton University,Computer Vision,Stanford University,Stanford University,0,5,5,0
1784,Paul D. Seymour,Princeton University,Computer Graphics,University of Oxford,University of Oxford,0,14,14,0
1785,Prateek Mittal,Princeton University,Machine Learning & Data Mining,Oregon State University,Imperial College London,0,25,25,0
1786,Ran Raz,Princeton University,Theory,Hebrew University of Jerusalem,Hebrew University of Jerusalem,0,2,2,0
