"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"457","Umakishore Ramachandran","Georgia Institute of Technology","","Full","Distributed & Parallel Computing","","","University of Wisconsin - Madison - USA","","Male","http://www.cc.gatech.edu/~rama/images/kishore.jpg","http://www.scs.gatech.edu/people/umakishore-ramachandran","2","2015-10-08"
"458","Vijay Vazirani","Georgia Institute of Technology","","Full","Algorithms & Theory","Massachusetts Institute of Technology - USA","","University of California - Berkeley - USA","","Male","http://www.cc.gatech.edu/~vazirani/Vijay.png","http://www.cc.gatech.edu/~vazirani/","2","2015-10-08"
"459","Wenke Lee","Georgia Institute of Technology","2001","Full","Security & Privacy","Sun Yat-sen University - China","City University of New York - USA","Columbia University - USA","","Male","http://wenke.gtisc.gatech.edu/wenke.jpg","http://wenke.gtisc.gatech.edu/cv.html","2","2015-10-08"
"460","Barbara J. Grosz","Harvard University","1986","Full","Machine Learning & Pattern Recognition","Cornell University - USA","University of California - Berkeley - USA","University of California - Berkeley - USA","","Female","http://www.seas.harvard.edu/sites/default/files/styles/directory_large/public/images/Directory/Grosz_200x300.jpg?itok=2sQuyKQy","http://www.seas.harvard.edu/sites/default/files/Barbara%20Grosz_0.pdf","2","2015-10-08"
"461","David C. Parkes","Harvard University","2001","Full","Artificial Intelligence","University of Oxford - United Kingdom","University of Oxford - United Kingdom","University of Pennsylvania - USA","","Male","http://www.eecs.harvard.edu/~parkes/pics/parkes_credit-Tony-Rinaldo.jpg","http://www.seas.harvard.edu/computer-science/people","2","2015-10-08"
"462","David Cox","Harvard University","2007","Associate","Bioinformatics & Computational Biology","Harvard University - USA","","Massachusetts Institute of Technology - USA","","Male","http://www.seas.harvard.edu/sites/default/files/styles/directory_large/public/images/Directory/Cox_200x300.jpg?itok=GP4_Ydq4","http://coxlab.org/pdfs/david_cox_cv.pdf","8114","2017-08-20"
"463","David M. Brooks","Harvard University","2002","Full","Software Engineering","University of Southern California - USA","Princeton University - USA","Princeton University - USA","","Male","http://www.eecs.harvard.edu/~dbrooks/David_April06.JPG","http://www.seas.harvard.edu/directory/dbrooks","2","2015-10-08"
"464","Eddie Kohler","Harvard University","2001","Full","Networks & Communications","","","Massachusetts Institute of Technology - USA","","Male","http://www.seas.harvard.edu/sites/default/files/styles/directory_large/public/images/Directory/Kohler_200x300.jpg?itok=_8pDhqh2","http://www.lcdf.org/~eddietwo/application/cv.html","8114","2017-08-20"
"465","Greg Morrisett","Cornell University","2004","Full","Programming Languages","University of Richmond - USA","","Carnegie Mellon University - USA","","Male","http://www.seas.harvard.edu/sites/default/files/images/news/Morrisett_op.jpg","http://www.seas.harvard.edu/computer-science/people","6004","2016-12-28"
"466","H.T. Kung","Harvard University","1992","Full","Databases","Tsinghua University - Beijing - China","","Carnegie Mellon University - USA","","Male","https://s3.amazonaws.com/htkungsitefiles/images/htkungphoto.png","http://www.eecs.harvard.edu/~htk.","2","2015-10-08"
"467","Hanspeter Pfister","Harvard University","2007","Full","Human-Computer Interaction","","Swiss Federal Institute of Technology (ETH) - Switzerland","Stony Brook University - USA","","Male","http://www.seas.harvard.edu/sites/default/files/styles/directory_large/public/images/Directory/Pfister_200x300.jpg?itok=m-RlA68C","http://www.seas.harvard.edu/computer-science/people","2","2015-10-08"
